 ," Wadäni mönitö ïmönite waa acedänimpa , ante cedinque pancadäniya guiquënë mïnitö ïmïnite äninque , Cadota ante pönö ",yewëmöedäni,True," , änäni ëñëninque yewëmömïni ate tömënäni ente mäo odömönäni adänipa "
 , ﻿ Ñöwo ïñömö mïni wedö ante ,yewëmömïni,True, ente adinque botö ïïmaï ämopa 
 , Mänömaïnö ante ,yewëmömo,True, ae 
 ," Æbänö cecää , ante tömää nänö cegaïnö ante adinque ",yewëmömöni,True," baï mänintacoo möni yewëmönintacoo ñönonguï ante ede inguipoga tömäo ince wïï eyepë incedönimpa , ante pönëmopa "
 ," ﻿ Ponguingä , ante näni Codito angaingä ïnongä inte Wengonguï Wengä Itota ingantedö ante botö Mäadocobo watapë ante ",yewëmömopa,True, 
 ," Oodeoidi beyë ante , Wengonguï quï , ante në godönäni ñënënäni ïñömö Pidato weca godinque tömengä ingante , — Bitö , “ Oodeoidi Awënë Odeye ïnongampa ,” ante ",yewëmönämaï,True, inguënë quëwëë 
 ," Ede , Ïïmaï ceedäni , ante Wengonguï wee angampa , ante Wengonguï anquedoidi änäni ëñëninque ",yewëmönäni,True," ate mïnitö në adömïni ince Baa äninque ëñënämaï cöwë cemïnipa töö ,” ante Etebä ïinque apënecantapa "
 ," Ayë , Acayabe ïñömö Itota ingante në tee empote quëwënäni acedänimpa , ante ïïmaï ante cadota ante ",yewëmönänitapa,True, 
 ," ﻿ Ñöwodäni nanguï ïnäni ince , Mönitö weca ebänö ïinque cegatimpa , ante do ",yewëmonce,True, cedänipa 
 ," Ïincayë quëwenguïnäni ëñente quëwencedänimpa , ante cedinque botö , Mïnitö cete quëwenguïmïnii , ante apënebo ëñëninque bitö adodö ante ",yewëmoncebiimpa,True," , ante apënegacäimpa ,” ante Etebä apënecantapa "
 ," Ïninque ïïnäni apënedäni möni ëñënö baï ñöwodäni weetë ede adobaï pönï ante yewëmonce cedäni ïninque botö ïñömö ede , Adobaïnö ante ",yewëmonceboimpa,True," , antabopa "
 ," ﻿ Wäö idegoidi weca nänö pöñedë ïinque bayonte awënë Tetedo Agoto ïñömö , Æpomïnidö ïmïnii , ante acete ante cedinque odömäno öme në quëwënäni ïnänite ede , Mïnitö ëmöwo tömämïni ",yewëmoncemïnimpa,True," , angacäimpa "
 , Ede mïnitö inguipoga ince gäwapentibe ince awencoo ince ee wo ëwënämaï ïñömïnite mönitö Wengonguï ingante në cedäni näni önönemö ïnö tömengä nänö yewëmöï ante täno ,yewëmoncemönimpa,True, 
 , Ëñëninque adocanque tömengä mëmëidi näni quëwengaïñömö wacä tömengä mëmëidi näni quëwengaïñömö tömänäni ,yewëmoncete,True, ante ede go go cegadänimpa 
 ,” Ante ,yewëmongä,True, amönipa 
 ," Äñongante , — Oodeabe ïñömö Bedëë näni quëwëñömö mänïñömö ëñacecäimpa , ante Wengonguï beyë në apënecä ince ïïmaï ante ",yewëmongacäimpa,True," , ante apënedänitapa "
 , Ayë Wengonguï beyë në apënedäni adodö ante ancete ante ,yewëmongadänimpa,True, 
 ," Ïninque ëmëwo möninque tömëna näna gencaya ince adocanque baï bate quëwencedaimpa ,” ante Möitee wodi nänö ",yewëmongaï,True, baï cedinque tömëna näna gencaya do möninque nänënë ïnämaï adocanque baï do bacäimpa 
 ," Pedipe Näatänaedo weca gocä adinque tömengä ingante ïïmaï äninque , — Wengonguï nänö wee angaïnö ante yewëmöninque Möitee wodi nänö në ",yewëmongaingä,True, ingante mönitö atamönipa 
 , Ïninque Wengonguï beyë në apënegaingä ïïmaï ante nänö ,yewëmongaïnö,True, baï ante ïinque batimpa 
 ," Mänömaï ëwocabi inte do ëñëmi ïninque bitö , Mönö Awënë nänö wee angaïnö ante Pabodo mänïnonque ante ",yewëmongampa,True," , ante , Näwangä impa , ante apënebaïmipa "
 , Äninque awënë cömantante ïñömö cadota ante ïïmaï ante ,yewëmongantapa,True, 
 , Tömengä nämä ingante ante ,yewëmongantawo,True, 
 ," Äñongante Itota , — Ïñempa godömenque ante ",yewëmongatimpa,True, 
 ," Önonque , Tömënäni acedänimpa , ante ïïmaï ante ",yewëmongëimpa,True," , Wadäni , Wengonguïidi quï , ante cenguï näni cönönï cënämaï incemïnimpa "
 ," Botö , Codito engä beyenque mönö quëwëmämo ebänö ï , ante quingë yewëmoncete ante ceyömote wadäni wëne wëne cedäni ate wedinque botö , Mïnitö wee ceedäni , ante ",yewëmonguënëmo,True, batabopa 
 ," Incete , Ïingä nänö cedïnö ante teiyë awënë aquïnö ante botö edö cete ",yewëmonguïmoo,True," , ante webopa "
 , Ede guiyä tënoncaï ince picë ,yewëmönï,True, ince adodeque cöwë wade cedämaï ïñonte tömengä nänö angaïnö baï tömänö adodö ïinque cete bacëimpa 
 ," Ïñempa , Ïïnäni quï bacëimpa , ante yewëmongä incete në ",yewëmöningä,True, mïingä quëwëñongante tömengä mäincoo edö cete tömënäni quï baquïï 
 ," Godömenque odömonte apënedinque Itota , “ Ayë , ‘ Onquiyengä ingante ecänö pämëïnëna tömengä ïñömö yewëmöinta ente ",yewëmöninque,True," , Bitö ïmite ëmëwo pämëmopa , ante yewëmonte onquiyengä ingante godongä encecäimpa ,’ ante dodäni näni angaïnö ante do ëñëninque Ao ämïnitawo "
 ," Ïninque , Ïï cadota möni ",yewëmönö,True," näwangä impa , ante adodö ante apënecedaimpa , ante cedinque mönitö Codaa tönö Tidato ïnate da godömöni godinque mïnitö weca pöna aedäni "
 , Botö ïñömö ïintaa yewëmöninque mänïnö tömengä nänö cegaïnö ante wïï tömää ,yewëmontabopa,True, 
 ," “ Ayë oodeoidi ïnämaï ïnäni guiquënë në pönënäni badinque ebänö cequënënäni ïnänipa , ante pönente wedinque mönitö do godongämë pönëninque tömënäni ïnänite ïïmaï ante ",yewëmontamönipa,True, 
 ," Tömengä wëmëidi ïïmaï ëmongadänimpa , ante ",yewëmonte,True, ongompa 
